time,open,high,low,close
2024-01-01T00:00:00Z,122.94,129.02,122.17,127.03
2024-01-02T00:00:00Z,127.03,127.66,107.34,109.01
2024-01-03T00:00:00Z,109.01,127.35,108.27,126.05
2024-01-04T00:00:00Z,126.05,126.87,119.29,121.09
2024-01-05T00:00:00Z,121.09,135.46,119.79,134.86
2024-01-06T00:00:00Z,134.86,136.53,115.08,115.62
2024-01-07T00:00:00Z,115.62,128.55,114.34,127.88
2024-01-08T00:00:00Z,127.88,138.35,127.25,132.59
2024-01-09T00:00:00Z,132.59,133.10,121.71,130.38
2024-01-10T00:00:00Z,130.38,134.22,128.72,131.16
2024-01-11T00:00:00Z,131.16,132.43,124.35,127.15
2024-01-12T00:00:00Z,127.15,146.52,126.33,142.04
2024-01-13T00:00:00Z,142.04,142.89,128.69,129.30
2024-01-14T00:00:00Z,129.30,141.20,124.34,140.67
2024-01-15T00:00:00Z,140.67,145.96,133.50,134.88
2024-01-16T00:00:00Z,134.88,143.43,134.23,142.21
2024-01-17T00:00:00Z,142.21,148.17,135.37,136.21
2024-01-18T00:00:00Z,136.21,143.26,125.68,142.41
2024-01-19T00:00:00Z,142.41,152.32,141.67,148.83
2024-01-20T00:00:00Z,148.83,149.65,134.92,137.21
2024-01-21T00:00:00Z,137.21,152.53,136.36,146.75
2024-01-22T00:00:00Z,146.75,147.58,138.56,142.30
2024-01-23T00:00:00Z,142.30,160.48,141.55,159.83
2024-01-24T00:00:00Z,159.83,160.74,137.10,137.87
2024-01-25T00:00:00Z,137.87,150.69,137.16,149.86
2024-01-26T00:00:00Z,149.86,158.53,149.24,151.66
2024-01-27T00:00:00Z,151.66,157.77,146.14,156.95
2024-01-28T00:00:00Z,156.95,160.38,150.55,151.28
2024-01-29T00:00:00Z,151.28,152.13,141.51,144.27
2024-01-30T00:00:00Z,144.27,167.54,143.45,165.38
2024-01-31T00:00:00Z,165.38,166.14,150.92,151.58
2024-02-01T00:00:00Z,151.58,161.24,149.88,160.47
2024-02-02T00:00:00Z,160.47,163.12,148.76,149.59
2024-02-03T00:00:00Z,149.59,165.09,148.51,164.24
2024-02-04T00:00:00Z,164.24,168.02,158.84,159.66
2024-02-05T00:00:00Z,159.66,160.47,145.90,155.88
2024-02-06T00:00:00Z,155.88,166.86,155.03,166.23
2024-02-07T00:00:00Z,166.23,167.06,155.30,156.00
2024-02-08T00:00:00Z,156.00,170.75,155.24,167.60
2024-02-09T00:00:00Z,167.60,168.25,152.35,155.50
2024-02-10T00:00:00Z,155.50,174.60,154.66,173.77
2024-02-11T00:00:00Z,173.77,178.70,157.64,158.49
2024-02-12T00:00:00Z,158.49,165.26,155.39,163.60
2024-02-13T00:00:00Z,163.60,168.43,162.79,165.32
2024-02-14T00:00:00Z,165.32,171.74,156.86,171.12
2024-02-15T00:00:00Z,171.12,178.03,166.37,166.92
2024-02-16T00:00:00Z,166.92,167.69,156.47,157.32
2024-02-17T00:00:00Z,157.32,176.68,156.55,174.28
2024-02-18T00:00:00Z,174.28,174.80,164.99,168.62
2024-02-19T00:00:00Z,168.62,172.12,164.95,171.27
2024-02-20T00:00:00Z,171.27,174.15,157.22,158.04
2024-02-21T00:00:00Z,158.04,175.57,157.23,174.83
2024-02-22T00:00:00Z,174.83,180.56,171.51,172.14
2024-02-23T00:00:00Z,172.14,172.97,156.55,166.72
2024-02-24T00:00:00Z,166.72,174.16,165.95,168.71
2024-02-25T00:00:00Z,168.71,170.52,163.97,166.55
2024-02-26T00:00:00Z,166.55,183.78,166.02,179.16
2024-02-27T00:00:00Z,179.16,179.77,157.91,159.90
2024-02-28T00:00:00Z,159.90,178.62,159.17,177.80
2024-02-29T00:00:00Z,177.80,180.47,163.32,164.06
2024-03-01T00:00:00Z,164.06,174.89,162.72,174.26
2024-03-02T00:00:00Z,174.26,175.13,165.53,166.03
2024-03-03T00:00:00Z,166.03,173.03,159.93,172.39
2024-03-04T00:00:00Z,172.39,182.36,171.73,173.69
