time,open,high,low,close
2024-01-01T00:00:00Z,122.94,123.44,122.44,122.94
2024-01-01T01:00:00Z,122.94,125.07,122.17,124.30
2024-01-01T02:00:00Z,124.30,126.33,123.46,125.49
2024-01-01T03:00:00Z,125.49,127.11,124.84,126.46
2024-01-01T04:00:00Z,126.46,127.84,125.80,127.18
2024-01-01T05:00:00Z,127.18,128.49,126.34,127.65
2024-01-01T06:00:00Z,127.65,128.65,126.88,127.88
2024-01-01T07:00:00Z,127.88,128.40,127.37,127.90
2024-01-01T08:00:00Z,127.90,128.67,126.98,127.76
2024-01-01T09:00:00Z,127.76,128.60,126.69,127.53
2024-01-01T10:00:00Z,127.53,128.17,126.62,127.26
2024-01-01T11:00:00Z,127.26,127.92,126.38,127.04
2024-01-01T12:00:00Z,127.04,127.88,126.05,126.89
2024-01-01T13:00:00Z,126.89,127.66,126.09,126.86
2024-01-01T14:00:00Z,126.86,127.46,126.35,126.95
2024-01-01T15:00:00Z,126.95,127.93,126.17,127.15
2024-01-01T16:00:00Z,127.15,128.27,126.31,127.43
2024-01-01T17:00:00Z,127.43,128.37,126.79,127.73
2024-01-01T18:00:00Z,127.73,128.66,127.07,128.00
2024-01-01T19:00:00Z,128.00,129.02,127.15,128.17
2024-01-01T20:00:00Z,128.17,128.96,127.41,128.19
2024-01-01T21:00:00Z,128.19,128.71,127.51,128.03
2024-01-01T22:00:00Z,128.03,128.81,126.85,127.64
2024-01-01T23:00:00Z,127.64,128.47,126.19,127.03
2024-01-02T00:00:00Z,127.03,127.66,125.58,126.22
2024-01-02T01:00:00Z,126.22,126.89,124.56,125.23
2024-01-02T02:00:00Z,125.23,126.08,123.28,124.12
2024-01-02T03:00:00Z,124.12,124.88,122.19,122.95
2024-01-02T04:00:00Z,122.95,123.47,121.23,121.75
2024-01-02T05:00:00Z,121.75,122.54,119.80,120.59
2024-01-02T06:00:00Z,120.59,121.42,118.65,119.48
2024-01-02T07:00:00Z,119.48,120.11,117.83,118.46
2024-01-02T08:00:00Z,118.46,119.14,116.85,117.52
2024-01-02T09:00:00Z,117.52,118.37,115.81,116.65
2024-01-02T10:00:00Z,116.65,117.41,115.07,115.83
2024-01-02T11:00:00Z,115.83,116.36,114.49,115.02
2024-01-02T12:00:00Z,115.02,115.81,113.41,114.20
2024-01-02T13:00:00Z,114.20,115.03,112.52,113.35
2024-01-02T14:00:00Z,113.35,113.97,111.85,112.47
2024-01-02T15:00:00Z,112.47,113.15,110.88,111.56
2024-01-02T16:00:00Z,111.56,112.41,109.81,110.66
2024-01-02T17:00:00Z,110.66,111.41,109.06,109.81
2024-01-02T18:00:00Z,109.81,110.35,108.54,109.07
2024-01-02T19:00:00Z,109.07,109.87,107.71,108.50
2024-01-02T20:00:00Z,108.50,109.33,107.34,108.17
2024-01-02T21:00:00Z,108.17,108.79,107.51,108.12
2024-01-02T22:00:00Z,108.12,109.09,107.44,108.40
2024-01-02T23:00:00Z,108.40,109.86,107.55,109.01
2024-01-03T00:00:00Z,109.01,110.70,108.27,109.95
2024-01-03T01:00:00Z,109.95,111.73,109.41,111.19
2024-01-03T02:00:00Z,111.19,113.45,110.39,112.66
2024-01-03T03:00:00Z,112.66,115.11,111.83,114.28
2024-01-03T04:00:00Z,114.28,116.60,113.67,115.99
2024-01-03T05:00:00Z,115.99,118.38,115.30,117.68
2024-01-03T06:00:00Z,117.68,120.14,116.84,119.29
2024-01-03T07:00:00Z,119.29,121.49,118.55,120.75
2024-01-03T08:00:00Z,120.75,122.56,120.21,122.01
2024-01-03T09:00:00Z,122.01,123.86,121.21,123.06
2024-01-03T10:00:00Z,123.06,124.71,122.23,123.88
2024-01-03T11:00:00Z,123.88,125.11,123.28,124.51
2024-01-03T12:00:00Z,124.51,125.66,123.81,124.96
2024-01-03T13:00:00Z,124.96,126.15,124.11,125.30
2024-01-03T14:00:00Z,125.30,126.29,124.56,125.55
2024-01-03T15:00:00Z,125.55,126.31,125.00,125.76
2024-01-03T16:00:00Z,125.76,126.75,124.95,125.94
