time,open,high,low,close,volume
2021-01-04T00:00:00Z,150.38,155.01,148.21,152.45,1511263794
2021-01-05T00:00:00Z,152.45,156.95,149.54,151.91,1488322985
2021-01-06T00:00:00Z,151.91,157.39,149.23,153.26,1549419993
2021-01-07T00:00:00Z,153.26,158.88,152.36,158.08,1409879006
2021-01-08T00:00:00Z,158.08,166.33,157.12,164.15,1530346633
2021-01-09T00:00:00Z,164.15,170.52,163.18,167.84,1530111516
2021-01-10T00:00:00Z,167.84,170.89,159.93,162.46,1434402579
2021-01-11T00:00:00Z,162.46,166.75,157.48,160.18,1511552105
2021-01-12T00:00:00Z,160.18,163.40,154.22,156.58,1502511079
2021-01-13T00:00:00Z,156.58,163.90,155.88,160.29,1532267472
2021-01-14T00:00:00Z,160.29,164.94,156.51,158.44,1397366231
2021-01-15T00:00:00Z,158.44,162.04,150.41,152.75,1590777867
2021-01-16T00:00:00Z,152.75,156.52,142.44,144.52,1458682659
2021-01-17T00:00:00Z,144.52,147.14,136.66,138.80,1497595450
2021-01-18T00:00:00Z,138.80,143.72,135.58,138.94,1456547874
2021-01-19T00:00:00Z,138.94,143.22,137.13,139.11,1585364367
2021-01-20T00:00:00Z,139.11,143.00,131.71,134.33,1415151541
2021-01-21T00:00:00Z,134.33,138.43,127.55,129.23,1509059110
2021-01-22T00:00:00Z,129.23,131.60,120.63,122.98,1517509681
2021-01-23T00:00:00Z,122.98,129.43,122.26,127.37,1499864813
2021-01-24T00:00:00Z,127.37,131.77,126.60,129.77,1450718362
2021-01-25T00:00:00Z,129.77,137.41,129.00,133.36,1504508608
2021-01-26T00:00:00Z,133.36,137.62,128.71,130.74,1556898932
2021-01-27T00:00:00Z,130.74,134.84,127.07,129.96,1397110482
2021-01-28T00:00:00Z,129.96,135.99,129.04,134.86,1553668423
2021-01-29T00:00:00Z,134.86,143.26,134.27,142.41,1483464909
2021-01-30T00:00:00Z,142.41,151.13,141.66,148.81,1525783382
2021-01-31T00:00:00Z,148.81,153.79,147.94,150.35,1408549851
2021-02-01T00:00:00Z,150.35,154.63,145.34,148.54,1595996735
2021-02-02T00:00:00Z,148.54,154.47,147.66,153.36,1450901075
2021-02-03T00:00:00Z,153.36,158.98,152.53,157.71,1485921423
2021-02-04T00:00:00Z,157.71,167.17,156.98,165.74,1487035214
2021-02-05T00:00:00Z,165.74,170.13,161.81,163.85,1551825487
2021-02-06T00:00:00Z,163.85,168.81,158.58,161.42,1430634244
2021-02-07T00:00:00Z,161.42,165.73,156.24,159.01,1490678220
2021-02-08T00:00:00Z,159.01,164.33,158.03,161.11,1554588931
2021-02-09T00:00:00Z,161.11,167.98,160.14,164.75,1447196866
2021-02-10T00:00:00Z,164.75,168.69,160.90,162.86,1497017124
2021-02-11T00:00:00Z,162.86,166.30,154.10,156.95,1487322078
2021-02-12T00:00:00Z,156.95,160.79,150.53,152.50,1565753190
2021-02-13T00:00:00Z,152.50,156.03,147.48,150.65,1381585761
2021-02-14T00:00:00Z,150.65,157.61,149.99,155.68,1576483665
2021-02-15T00:00:00Z,155.68,159.31,151.50,153.70,1475931533
2021-02-16T00:00:00Z,153.70,159.24,149.26,152.05,1504613001
2021-02-17T00:00:00Z,152.05,155.55,144.08,146.06,1437692669
2021-02-18T00:00:00Z,146.06,151.37,144.02,147.43,1580399322
2021-02-19T00:00:00Z,147.43,153.27,146.62,152.56,1455296213
