time,open,high,low,close,volume
2021-01-04T00:00:00Z,148.87,161.23,147.47,159.99,285660754
2021-01-11T00:00:00Z,159.99,164.66,157.39,158.95,370983425
2021-01-18T00:00:00Z,158.95,159.81,128.59,129.61,292453314
2021-01-25T00:00:00Z,129.61,137.01,128.79,135.93,309239767
2021-02-01T00:00:00Z,135.93,165.20,134.99,163.89,317270516
2021-02-08T00:00:00Z,163.89,166.48,157.35,158.63,246677505
2021-02-15T00:00:00Z,158.63,159.62,147.76,150.12,352802155
2021-02-22T00:00:00Z,150.12,170.35,149.10,168.97,333270251
2021-03-01T00:00:00Z,168.97,176.82,167.86,170.04,296794404
2021-03-08T00:00:00Z,170.04,171.12,146.73,147.96,354613514
2021-03-15T00:00:00Z,147.96,156.31,142.87,155.02,252432245
2021-03-22T00:00:00Z,155.02,184.96,153.93,183.42,303306180
2021-03-29T00:00:00Z,183.42,196.42,182.12,184.70,341855440
2021-04-05T00:00:00Z,184.70,185.95,164.28,165.69,273977369
2021-04-12T00:00:00Z,165.69,166.77,154.26,164.39,365328082
2021-04-19T00:00:00Z,164.39,180.77,163.20,179.22,316307941
2021-04-26T00:00:00Z,179.22,188.92,176.87,180.26,280625801
2021-05-03T00:00:00Z,180.26,181.49,168.30,172.02,325078681
2021-05-10T00:00:00Z,172.02,186.67,170.76,185.05,260213463
2021-05-17T00:00:00Z,185.05,200.53,183.61,198.78,340157411
2021-05-24T00:00:00Z,198.78,200.15,174.17,175.73,353075165
2021-05-31T00:00:00Z,175.73,176.93,157.64,159.06,274104568
2021-06-07T00:00:00Z,159.06,190.82,157.75,189.13,348666619
2021-06-14T00:00:00Z,189.13,208.31,187.64,206.15,275743355
2021-06-21T00:00:00Z,206.15,207.61,179.12,180.76,284288352
2021-06-28T00:00:00Z,180.76,182.12,169.62,174.84,355200683
2021-07-05T00:00:00Z,174.84,194.05,173.43,192.30,277090014
2021-07-12T00:00:00Z,192.30,193.98,180.81,182.48,351809412
2021-07-19T00:00:00Z,182.48,183.88,167.88,170.60,334938335
2021-07-26T00:00:00Z,170.60,193.35,169.22,191.57,252269291
2021-08-02T00:00:00Z,191.57,207.17,190.02,202.13,327150903
2021-08-09T00:00:00Z,202.13,203.74,176.85,178.51,288210213
2021-08-16T00:00:00Z,178.51,179.88,159.29,163.90,320892163
2021-08-23T00:00:00Z,163.90,180.01,158.93,178.34,365833288
2021-08-30T00:00:00Z,178.34,194.79,176.79,190.54,270284667
2021-09-06T00:00:00Z,190.54,193.93,178.86,180.69,334833850
2021-09-13T00:00:00Z,180.69,182.10,168.11,171.34,296024720
2021-09-20T00:00:00Z,171.34,182.07,169.88,179.37,260759819
2021-09-27T00:00:00Z,179.37,185.43,173.74,176.51,360610842
2021-10-04T00:00:00Z,176.51,177.88,153.55,155.04,299050107
2021-10-11T00:00:00Z,155.04,162.93,153.67,161.38,331253486
2021-10-18T00:00:00Z,161.38,190.97,159.84,189.15,346987535
2021-10-25T00:00:00Z,189.15,190.72,173.92,175.62,238433411
2021-11-01T00:00:00Z,175.62,176.99,140.87,142.25,323470927
2021-11-08T00:00:00Z,142.25,152.83,140.98,151.36,316407295
2021-11-15T00:00:00Z,151.36,170.88,149.97,169.03,296368152
2021-11-22T00:00:00Z,169.03,170.46,152.18,153.68,370724280
2021-11-29T00:00:00Z,153.68,155.02,142.11,147.35,281288612
2021-12-06T00:00:00Z,147.35,163.45,146.02,161.86,313805161
2021-12-13T00:00:00Z,161.86,165.20,150.09,151.58,312784898
2021-12-20T00:00:00Z,151.58,152.89,125.34,126.59,251307028
2021-12-27T00:00:00Z,126.59,133.53,117.47,132.22,357896050
2022-01-03T00:00:00Z,132.22,155.16,130.97,153.64,325863234
2022-01-10T00:00:00Z,153.64,164.19,147.21,148.69,304919726
2022-01-17T00:00:00Z,148.69,149.95,124.06,125.30,351507276
2022-01-24T00:00:00Z,125.30,126.36,113.53,121.61,243956388
2022-01-31T00:00:00Z,121.61,134.65,120.41,133.32,312597882
2022-02-07T00:00:00Z,133.32,134.73,123.96,125.45,338938368
2022-02-14T00:00:00Z,125.45,126.51,112.18,113.30,276717376
2022-02-21T00:00:00Z,113.30,131.14,112.16,129.85,367414148
2022-02-28T00:00:00Z,129.85,139.15,128.55,136.12,306213671
2022-03-07T00:00:00Z,136.12,137.23,101.85,102.88,286723540
2022-03-14T00:00:00Z,102.88,103.78,89.45,91.47,324586560
2022-03-21T00:00:00Z,91.47,123.04,90.46,121.83,256821021
