time,open,high,low,close,volume
2021-01-04T00:00:00Z,150.38,153.92,149.55,153.09,220375096
2021-01-04T04:00:00Z,153.09,153.88,151.57,153.34,278149048
2021-01-04T08:00:00Z,153.34,155.01,151.27,151.98,297818822
2021-01-04T12:00:00Z,151.98,152.87,148.21,149.63,270838947
2021-01-04T16:00:00Z,149.63,152.48,148.73,151.21,212481461
2021-01-04T20:00:00Z,151.21,153.34,149.74,152.45,231600420
2021-01-05T00:00:00Z,152.45,156.00,151.76,154.56,265045356
2021-01-05T04:00:00Z,154.56,155.12,152.42,154.41,257521223
2021-01-05T08:00:00Z,154.41,156.95,153.67,154.84,223048752
2021-01-05T12:00:00Z,154.84,155.70,151.55,152.59,195313596
2021-01-05T16:00:00Z,152.59,154.12,150.99,151.84,255523772
2021-01-05T20:00:00Z,151.84,152.82,149.54,151.91,291870286
2021-01-06T00:00:00Z,151.91,156.36,151.10,155.36,282289245
2021-01-06T04:00:00Z,155.36,156.54,153.79,155.72,232572898
2021-01-06T08:00:00Z,155.72,157.39,153.37,154.02,230661386
2021-01-06T12:00:00Z,154.02,154.77,149.23,150.20,276703594
2021-01-06T16:00:00Z,150.20,152.24,149.35,151.03,283045556
2021-01-06T20:00:00Z,151.03,154.13,149.72,153.26,244147314
2021-01-07T00:00:00Z,153.26,157.76,152.36,156.47,182271512
2021-01-07T04:00:00Z,156.47,157.27,154.39,156.16,220629467
2021-01-07T08:00:00Z,156.16,158.52,155.51,156.53,270228366
2021-01-07T12:00:00Z,156.53,157.15,153.99,155.88,276869914
2021-01-07T16:00:00Z,155.88,158.68,155.09,157.24,241053322
2021-01-07T20:00:00Z,157.24,158.88,155.34,158.08,218826425
2021-01-08T00:00:00Z,158.08,162.61,157.12,161.68,273581771
2021-01-08T04:00:00Z,161.68,164.45,160.54,163.47,296745870
2021-01-08T08:00:00Z,163.47,166.33,162.64,163.98,273343890
2021-01-08T12:00:00Z,163.98,164.62,159.86,161.07,212212003
2021-01-08T16:00:00Z,161.07,163.03,160.40,161.54,218858180
2021-01-08T20:00:00Z,161.54,164.84,160.13,164.15,255604919
2021-01-09T00:00:00Z,164.15,169.61,163.18,168.72,259693439
2021-01-09T04:00:00Z,168.72,169.74,167.12,168.76,235751436
2021-01-09T08:00:00Z,168.76,170.52,166.80,167.80,200661021
2021-01-09T12:00:00Z,167.80,168.61,164.36,166.02,253427347
2021-01-09T16:00:00Z,166.02,168.93,165.38,167.42,293172990
2021-01-09T20:00:00Z,167.42,168.47,165.44,167.84,287405283
2021-01-10T00:00:00Z,167.84,170.89,166.94,169.29,239615680
2021-01-10T04:00:00Z,169.29,170.28,166.90,168.68,220309858
2021-01-10T08:00:00Z,168.68,170.70,167.15,168.14,268151363
2021-01-10T12:00:00Z,168.14,169.07,163.47,164.45,278667405
2021-01-10T16:00:00Z,164.45,165.51,161.77,162.67,244025481
2021-01-10T20:00:00Z,162.67,163.26,159.93,162.46,183632792
2021-01-11T00:00:00Z,162.46,166.75,161.73,165.63,219627233
2021-01-11T04:00:00Z,165.63,166.52,163.68,165.24,272932893
2021-01-11T08:00:00Z,165.24,166.69,161.99,162.88,284087063
2021-01-11T12:00:00Z,162.88,163.83,157.74,158.85,251204441
2021-01-11T16:00:00Z,158.85,160.77,157.98,159.26,216195348
2021-01-11T20:00:00Z,159.26,161.06,157.48,160.18,267505127
2021-01-12T00:00:00Z,160.18,163.40,159.61,161.67,294018028
2021-01-12T04:00:00Z,161.67,162.42,158.72,160.02,274436087
2021-01-12T08:00:00Z,160.02,161.84,158.50,159.24,215330516
2021-01-12T12:00:00Z,159.24,160.18,155.73,157.01,205372772
2021-01-12T16:00:00Z,157.01,158.71,155.74,156.67,246578397
2021-01-12T20:00:00Z,156.67,157.51,154.22,156.58,266775279
2021-01-13T00:00:00Z,156.58,160.94,155.88,159.97,247664661
2021-01-13T04:00:00Z,159.97,162.09,158.78,161.39,205302520
2021-01-13T08:00:00Z,161.39,163.90,160.54,161.14,250107686
2021-01-13T12:00:00Z,161.14,162.03,156.82,157.76,292871808
2021-01-13T16:00:00Z,157.76,159.58,156.81,158.17,290914899
2021-01-13T20:00:00Z,158.17,161.25,156.76,160.29,245405898
2021-01-14T00:00:00Z,160.29,164.94,159.45,163.61,213147575
2021-01-14T04:00:00Z,163.61,164.30,161.02,162.36,258313815
2021-01-14T08:00:00Z,162.36,163.77,160.02,160.70,273078017
2021-01-14T12:00:00Z,160.70,161.49,157.02,158.35,243128489
2021-01-14T16:00:00Z,158.35,160.63,157.44,158.81,191706340
2021-01-14T20:00:00Z,158.81,159.75,156.51,158.44,217991995
2021-01-15T00:00:00Z,158.44,161.46,157.51,159.94,274445683
2021-01-15T04:00:00Z,159.94,160.76,157.83,159.79,289886886
2021-01-15T08:00:00Z,159.79,162.04,158.40,159.21,260070692
2021-01-15T12:00:00Z,159.21,159.85,154.32,155.05,216716369
2021-01-15T16:00:00Z,155.05,156.08,152.44,153.06,259968252
2021-01-15T20:00:00Z,153.06,153.94,150.41,152.75,289689985
