rank,oversold,overbought,stop_loss_pct,take_profit_pct,total_return,sharpe,sortino,calmar,profit_factor,num_trades,win_rate,max_drawdown,objective,objective_value,status,failure_reason
1,35,70,5,12,0.879314,2.603603,2.168813,8.418436,6.360832,18,0.722222,0.052154,sharpe,2.603603,ok,
2,35,65,3,12,1.025057,2.530222,2.642531,7.267256,3.903417,31,0.516129,0.070429,sharpe,2.530222,ok,
3,35,70,3,12,0.810189,2.497128,2.044116,8.949281,7.00374,19,0.631579,0.045204,sharpe,2.497128,ok,
4,35,70,8,12,0.811595,2.431849,1.949201,6.83349,4.730206,17,0.764706,0.059302,sharpe,2.431849,ok,
5,35,70,3,16,0.884359,2.389912,1.975391,3.768474,6.108209,19,0.526316,0.117176,sharpe,2.389912,ok,
6,35,65,3,16,1.071863,2.379113,2.549543,5.548206,3.441746,31,0.419355,0.096463,sharpe,2.379113,ok,
7,35,65,5,12,0.987262,2.375587,2.553028,5.006934,3.05204,29,0.586207,0.098455,sharpe,2.375587,ok,
8,35,65,8,12,1.059091,2.362131,2.483609,3.792801,2.964681,26,0.692308,0.139428,sharpe,2.362131,ok,
9,35,70,8,16,0.901155,2.341624,1.956965,2.899515,4.372987,16,0.6875,0.155185,sharpe,2.341624,ok,
10,35,70,5,16,0.808297,2.271754,1.811568,2.808913,4.659017,17,0.588235,0.143684,sharpe,2.271754,ok,
11,35,75,5,12,0.672583,2.199229,1.746374,6.439218,5.346501,16,0.6875,0.052154,sharpe,2.199229,ok,
12,35,75,3,12,0.611062,2.083236,1.620637,6.749738,5.799837,17,0.588235,0.045204,sharpe,2.083236,ok,
13,30,70,3,16,0.259712,2.032773,3.226055,19.413009,0,3,1,0.00668,sharpe,2.032773,ok,
14,30,70,5,16,0.259712,2.032773,3.226055,19.413009,0,3,1,0.00668,sharpe,2.032773,ok,
15,30,70,8,16,0.259712,2.032773,3.226055,19.413009,0,3,1,0.00668,sharpe,2.032773,ok,
16,35,75,8,12,0.612313,2.026056,1.559155,5.155571,3.983135,15,0.733333,0.059302,sharpe,2.026056,ok,
17,35,65,5,16,0.860279,2.018918,2.161941,3.266768,2.469258,28,0.464286,0.131491,sharpe,2.018918,ok,
18,35,65,8,16,0.933153,1.976066,2.076734,2.522273,2.44113,24,0.583333,0.184729,sharpe,1.976066,ok,
19,25,70,3,16,0.1664,1.959835,1.887434,12.438103,0,2,1,0.00668,sharpe,1.959835,ok,
20,25,70,5,16,0.1664,1.959835,1.887434,12.438103,0,2,1,0.00668,sharpe,1.959835,ok,
21,25,70,8,16,0.1664,1.959835,1.887434,12.438103,0,2,1,0.00668,sharpe,1.959835,ok,
22,35,75,3,16,0.615534,1.893613,1.473897,2.622944,4.839865,17,0.470588,0.117176,sharpe,1.893613,ok,
23,35,65,5,8,0.594719,1.870655,1.806666,3.456627,2.674372,30,0.633333,0.085908,sharpe,1.870655,ok,
24,35,75,8,16,0.629934,1.858853,1.474789,2.026847,3.546443,14,0.642857,0.155185,sharpe,1.858853,ok,
